Bibliotek|Alternativt biblioteksnamn|Sigel|Bibliotekstyp|Gatuadress|Postnummer|Ort|Besöksadress|Latitud|Longitud|Län|Kommunkod|Telefonnummer|E-post|Webbadress|Geocode
Borås stadsbibliotek||Bo|folkbib||501 80|Borås||57.721064|12.947793|O|1490|033357000|boras.stadsbibliotek@boras.se|http://www.boras.se/forvaltningar/kulturforvaltningen/kulturforvaltningen/borasstadsbibliotek/borasstadsbibliotek.4.82f0a312665003f0d800019496.html|Borås stadsbibliotek, 501 80, Borås, Sweden
Biblioteket, Södra Älvsborgs Sjukhus||Bola|sjukbib|Biblioteket SÄS|501 82|Borås||57.721035|12.939819|O|1490|033 6162371|bibliotek.sas@vgregion.se|http://www.vgregion.se/sas/bibliotek|Biblioteket SÄS, 501 82, Borås, Sweden
NVU, Brinellskolan|Brinellskolans bibliotek|Brif|skolbib|Fridavägen 5|737 44|Fagersta|Fridavägen 5|60.0003811|15.8023324|U|1982|022344362|biblioteket@nvu.se|http://www.nvu.se/biblioteket|Fridavägen 5, 737 44, Fagersta, Sweden
Södertälje vårdgymnasium||Bsvg|skolbib|Box 7014|152 07|Södertälje||59.195363|17.625689|AB|0181|075525487VX:|||Södertälje vårdgymnasium, 152 07, Södertälje, Sweden
Danderyds sjukhus AB||Das|sjukbib|Danderyds sjukhus|182 88|Stockholm||59.3293235|18.0685808|AB|0180|0812355772|biblioteket@ds.se|http://www.ds.se/biblioteket|Danderyds sjukhus, 182 88, Stockholm, Sweden
Eskilstuna länsbibliotek||Es|folkbib|Box 17|63102|Eskilstuna|Kriebsensgatan 4|59.3725124|16.5125108|D|0484|016166904|fjarrlan.lansbiblioteksormland@eskilstuna.se|http://eskilstuna.se/lansbiblioteket|Kriebsensgatan 4, 63102, Eskilstuna, Sweden
Eskilstuna stadsbibliotek||Es1|folkbib|Box 17|631 02|Eskilstuna|Kriebsensgatan 4|59.37249|16.512601|D|0484|0167102168|stadsbiblioteket@eskilstuna.se|http://bibliotek.eskilstuna.se/web/arena|Kriebsensgatan 4, 631 02, Eskilstuna, Sweden
Sjukhusbiblioteken i Sörmland||Sjbs|sjukbib|Mälarsjukhuset|631 88|Eskilstuna||59.3712486|16.5098045|D|0400|016103897|jill.henriksson@dll.se|http://www.landstingetsormland.se/sjukhusbiblioteken|Mälarsjukhuset, 631 88, Eskilstuna, Sweden
Länsbibliotek Dalarna||Fa|folkbib||791 83|Falun|Kristinegatan 15|60.607365|15.6286779|W|2080|02386119|lansbiblioteket@falun.se|http://lansbibliotekdalarna.se/|Kristinegatan 15, 791 83, Falun, Sweden
Falu stadsbibliotek||Fa1|folkbib|Östra Hamngatan 24|791 71|Falun|Östra Hamngatan 24|60.6064626|15.633306|W|2080|02383868|stadsbiblioteket-fjarrlan@falun.se|http://www.falun.se/|Östra Hamngatan 24, 791 71, Falun, Sweden
Sjukhuset i Falköping||Fbk|sjukbib||521 85|Falköping||58.175029|13.553217|O|1499|051587063|bibliotek.skas@vgregion.se|http://www.vgregion.se/sv/Skaraborgs-sjukhus/Skaraborgs-sjukhus/Hemsidor-SkaS/Sjukhusbibliotek/|Sjukhuset i Falköping, 521 85, Falköping, Sweden
Landstinget i Kalmar län||Forv|specbib|\nBox 601|391 26|Kalmar||56.6634447|16.356779|H|0880|048084876|ewan@ltkalmar.se|http://|Landstinget i Kalmar län, 391 26, Kalmar, Sweden
Stadsbiblioteket Göteborg||Gbg|folkbib|Box 5404|402 29|Göteborg|Götaplatsen 3 412 56 GÖTEBORG|57.697872|11.979705|O|1480|0313683594|fjarrlan@kultur.goteborg.se|http://www.gotlib.goteborg.se/|Götaplatsen 3 412 56 GÖTEBORG, 402 29, Göteborg, Sweden
Göteborgs stadsbibliotek||Gbg1|folkbib|Box 5404|402 29|Göteborg|Götaplatsen 3|57.6977738|11.9793868|O|1480|0313683591|inlan.fjarrlan@kultur.goteborg.se|http://www.stadsbiblioteket.goteborg.se/|Götaplatsen 3, 402 29, Göteborg, Sweden
Gällivare lasarett||Gas|sjukbib||982 82|Gällivare||67.1379|20.6593618|BD|2560|097019287|sjukhusbiblioteket.gallivare@nll.se|http://|Gällivare lasarett, 982 82, Gällivare, Sweden
Gävle Sjukhus||Gavs|sjukbib||801 87|Gävle|Gävle  sjukhus, ingång 15|60.6748796|17.1412726|X|2180|026154980|biblioteket@regiongavleborg.se|http://www.regiongavleborg.se/|Gävle  sjukhus, ingång 15, 801 87, Gävle, Sweden
Hallands sjukhus Halmstad||Halm|sjukbib||301 85|Halmstad|Ingång 19A|56.6743748|12.8577884|N|1380|035134662|biblioteket.hsh@regionhalland.se|http://www.regionhalland.se/sv/vard-halsa/for-vardgivare/fouu/biblioteken/|Ingång 19A, 301 85, Halmstad, Sweden
Helsingborgs lasarett||Hla|sjukbib||251 87|Helsingborg||56.0464674|12.6945121|LM|1283|0424062590|biblioteket.hbg@skane.se|http://www.helsingborgslasarett.se/|Helsingborgs lasarett, 251 87, Helsingborg, Sweden
Hälso- och sjukvården, Sala-Heby||Hssa|sjukbib|Box 300|733 25|Sala||59.9208594|16.606328|U|1981|022458000|||Hälso- och sjukvården, Sala-Heby, 733 25, Sala, Sweden
Härnösands bibliotek   ||Hsd|folkbib||871 80|Härnösand|Universitetsbacken 3|62.631079|17.946492|Y|2280|061186511|sambiblioteket@sambiblioteket.se|https://bibliotek.harnosand.se/|Universitetsbacken 3, 871 80, Härnösand, Sweden
Musikhögskolan Ingesund||Imh|univbib||671 91|Arvika||59.630441|12.591466|S|1780|057038508|biblioteket@mhi.kau.se|http://www.kau.se/musikhogskolan-ingesund/bibliotek|Musikhögskolan Ingesund, 671 91, Arvika, Sweden
Jönköpings stadsbibliotek||Jos|folkbib|Box 1029|551 11|Jönköping|Dag Hammarskjölds plats 1|57.780094|14.176711|F|0680|036105575|fjarrlan@jonkoping.se|https://bibliotek.jonkoping.se/|Dag Hammarskjölds plats 1, 551 11, Jönköping, Sweden
Vårdgymnasiet i Karlskrona||Karv|skolbib|Gamla Infartsvägen 4|371 41|Karlskrona||56.1818188|15.6056778|K|1080|045589270|||Gamla Infartsvägen 4, 371 41, Karlskrona, Sweden
Sjukhusbiblioteket i Karlstad||Kas|sjukbib||651 85|Karlstad|Centralsjukhuset|59.4021806|13.5114977|S|1780|054615015|sjukhusbiblioteket.karlstad@liv.se|http://www.liv.se/sjukhusbibliotek|Centralsjukhuset, 651 85, Karlstad, Sweden
Länssjukhuset Kalmar||Ksh|sjukbib|Länssjukhuset|391 85 |Kalmar||56.6634447|16.356779|H|0880|0480446101|medbib@lnu.se|http://medbib.lnu.se/|Länssjukhuset, 391 85 , Kalmar, Sweden
Kiruna sjukhusbibliotek||Kila|sjukbib|Box 805|981 28|Kiruna|Thulegatan 29|67.8499867|20.238353|BD||098073035|sjukhusbiblioteket.kiruna@nll.se|http://|Thulegatan 29, 981 28, Kiruna, Sweden
Karlskrona stadsbibliotek||Kka|folkbib|Box 320|371 25|Karlskrona|Stortorget 15-17|56.160518|15.585159|K|1080|0455303465|stadsbiblioteket@karlskrona.se|http://www.karlskrona.se|Stortorget 15-17, 371 25, Karlskrona, Sweden
Länsbiblioteket i Värmland||Kld|folkbib|Karlstads stadsbibliotek|651 84|Karlstad|Västra Torggatan 26|59.3836189|13.5023523|S|1780|0545402378|fjarrlan@karlstad.se|http://www.karlstad.se/|Västra Torggatan 26, 651 84, Karlstad, Sweden
Medicinska biblioteket ||Kmb|sjukbib|Blekinge Kompetenscentrum|371 81|Karlskrona|Blekinge Kompetenscentrum, Vårdskolevägen 5, Karlskrona|56.161224|15.5869|K|1080|0455737825|biblioteket.blskna@ltblekinge.se|http://ltblekinge.se/Forskning-och-utveckling/Blekinge-kompetenscentrum/Bibliotek-och-larcentrum/|Blekinge Kompetenscentrum, Vårdskolevägen 5, Karlskrona, 371 81, Karlskrona, Sweden
Regionbibliotek Skåne||Kri|folkbib|Kristianstads kommun, Biblioteket|29180|Kristianstad||56.0314431|14.1613952|LM|1290|044136723|biblioteket@kristianstad.se|http://www.kristianstad.se/sv/Kristianstads-kommun/Kultur-Fritid/Bibliotek/|Kristianstads kommun, Biblioteket, 29180, Kristianstad, Sweden
Kristianstads stadsbibliotek||Kri1|folkbib|Kristianstads kommun, Biblioteket|29180|Kristianstad||56.0314431|14.1613952|LM|1290|044136723|biblioteket@kristianstad.se|http://www.kristianstad.se/sv/Kristianstads-kommun/Kultur-Fritid/Bibliotek|Kristianstads kommun, Biblioteket, 29180, Kristianstad, Sweden
Centralsjukhuset Kristianstad||Krs|sjukbib||291 85|Kristianstad||56.0293936|14.1566778|LM|1290|044-309 27 30|Medicinskabiblioteket.kryh@skane.se|http://vardgivare.skane.se/kompetens-utveckling/sjukhusbiblioteken/|Centralsjukhuset Kristianstad, 291 85, Kristianstad, Sweden
Kullbergska sjukhuset||Kull|sjukbib|Kullbergska sjukhuset Box 110|641 22|Katrineholm||58.9955511|16.2054756|D|0483|015056106|bibliotek.ksk@dll.se|http://www.landstingetsormland.se/sjukhusbiblioteken|Kullbergska sjukhuset Box 110, 641 22, Katrineholm, Sweden
Kungälvs sjukhusbibliotek||Kusj|sjukbib||442 83|Kungälv||57.869754|11.9740317|O|1482|030398832|bjorn.l.gustafsson@vgregion.se|http://wwwhot.vgregion.se/ks/info_om_ksh/bibl.htm|Kungälvs sjukhusbibliotek, 442 83, Kungälv, Sweden
Falu lasaretts bibliotek och informationscentral||Laf|sjukbib||791 82|Falun|Söderbaums väg 8|60.6092047|15.6426898|W|2080|023-49 21 34|falun.biblioteket@ltdalarna.se|http://www.ldbib.se/|Söderbaums väg 8, 791 82, Falun, Sweden
Lasarettet i Enköping||Lemb|sjukbib|Box 908|745 25|Enköping|Kungsgatan 71|59.6292512|17.0689382|C|0381|0171418234|infocenter.le@lul.se|http://www.lul.se/le/infocenter|Kungsgatan 71, 745 25, Enköping, Sweden
Linköpings stadsbibliotek||Lin1|folkbib|Östgötagatan 5|581 19|Linköping|Östgötagatan 5|58.410965284|15.6138294394|E|0580|013-206601|stadsbiblioteket@linkoping.se|http://www.linkoping.se/bibliotek|Östgötagatan 5, 581 19, Linköping, Sweden
Lidköpings sjukhus|Sjukhusbiblioteket SkaS|Lisj|sjukbib|Mellby gatan 11-15|531 85|Lidköping||58.497446|13.1504708|O|1494|051085023|bibliotek.skas@vgregion.se|http://www.vgregion.se/sv/Skaraborgs-sjukhus/Skaraborgs-sjukhus/Hemsidor-SkaS/Sjukhusbibliotek/|Mellby gatan 11-15, 531 85, Lidköping, Sweden
Landstinget Gävleborg||Ltga|sjukbib||801 88|Gävleborg||61.3011993|16.1534215|X||026155830|||Landstinget Gävleborg, 801 88, Gävleborg, Sweden
Universitetssjukhuset i Lund||Lul|sjukbib||221 85|Lund|Getingeväg 4, Centralblocket plan 1 bredvid aulan|55.71245|13.196322|LM|1281|046171725|sjukhusbiblioteket.lund@skane.se|http://www.skane.se/sus/sjukhusbiblioteken|Getingeväg 4, Centralblocket plan 1 bredvid aulan, 221 85, Lund, Sweden
Landstingets kansli i Uppsala||Lulk|sjukbib|Box 602|751 25|Uppsala||59.8585638|17.6389267|C|0380|018176052||http://|Landstingets kansli i Uppsala, 751 25, Uppsala, Sweden
Psykiatribiblioteket||Luls|sjukbib|Baravägen 1|221 85|Lund|Baravägen 1C|55.7180957|13.1907387|LM|1281|046-174810|psykiatribiblioteket.lund@skane.se|http://www.skane.se/sus/sjukhusbiblioteken|Baravägen 1C, 221 85, Lund, Sweden
Universitetssjukhuset MAS||Mas|sjukbib|Ingång 59|205 02|Malmö||55.604981|13.003822|LM|1280|040331187|eva_a.nilsson@med.lu.se|http://www.mcbib.mas.lu.se|Ingång 59, 205 02, Malmö, Sweden
